programId,OpenFHE
0,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/ckksrns/ckksrns-parametergeneration.cpp:l.149:ParamsGenCKKSRNSInternal(): The specified ring dimension (32768) does not comply with HE standards recommendation (65536)."
2,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /usr/local/OpenFHE-v1.4.2/include/openfhe/core/math/nbtheory-impl.h:l.390:PreviousPrime<intnat::NativeIntegerT<long unsigned int> >(): PreviousPrime: overflow shrinking candidate"
5,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/ckksrns/ckksrns-parametergeneration.cpp:l.149:ParamsGenCKKSRNSInternal(): The specified ring dimension (16384) does not comply with HE standards recommendation (65536)."
6,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/ckksrns/ckksrns-parametergeneration.cpp:l.149:ParamsGenCKKSRNSInternal(): The specified ring dimension (16384) does not comply with HE standards recommendation (32768)."
7,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/ckksrns/ckksrns-parametergeneration.cpp:l.149:ParamsGenCKKSRNSInternal(): The specified ring dimension (16384) does not comply with HE standards recommendation (131072)."
8,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /usr/local/OpenFHE-v1.4.2/include/openfhe/core/math/nbtheory-impl.h:l.390:PreviousPrime<intnat::NativeIntegerT<long unsigned int> >(): PreviousPrime: overflow shrinking candidate"
12,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/ckksrns/ckksrns-parametergeneration.cpp:l.149:ParamsGenCKKSRNSInternal(): The specified ring dimension (16384) does not comply with HE standards recommendation (32768)."
13,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/gen-cryptocontext-params-validation.cpp:l.73:validateParametersForCryptocontext(): scalingModSize should be greater than 15 and less than 60"
14,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/ckksrns/ckksrns-parametergeneration.cpp:l.149:ParamsGenCKKSRNSInternal(): The specified ring dimension (16384) does not comply with HE standards recommendation (32768)."
17,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /usr/local/OpenFHE-v1.4.2/include/openfhe/core/math/nbtheory-impl.h:l.390:PreviousPrime<intnat::NativeIntegerT<long unsigned int> >(): PreviousPrime: overflow shrinking candidate"
20,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/ckksrns/ckksrns-parametergeneration.cpp:l.149:ParamsGenCKKSRNSInternal(): The specified ring dimension (16384) does not comply with HE standards recommendation (65536)."
26,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/gen-cryptocontext-params-validation.cpp:l.73:validateParametersForCryptocontext(): scalingModSize should be greater than 15 and less than 60"
30,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/encoding/ckkspackedencoding.cpp:l.453:Decode(): The decryption failed because the approximation error is too high. Check the parameters."
34,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/ckksrns/ckksrns-parametergeneration.cpp:l.149:ParamsGenCKKSRNSInternal(): The specified ring dimension (32768) does not comply with HE standards recommendation (65536)."
37,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /usr/local/OpenFHE-v1.4.2/include/openfhe/core/math/nbtheory-impl.h:l.390:PreviousPrime<intnat::NativeIntegerT<long unsigned int> >(): PreviousPrime: overflow shrinking candidate"
38,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.4.2/src/pke/lib/scheme/gen-cryptocontext-params-validation.cpp:l.73:validateParametersForCryptocontext(): scalingModSize should be greater than 15 and less than 60"
