programId,OpenFHE
2169,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bfvrns/bfvrns-parametergeneration.cpp:l.289:ParamsGenBFVRNS(): Ring dimension 16384 specified by the user does not meet the security requirement. Please increase it to 32768."
2341,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bgvrns/bgvrns-parametergeneration.cpp:l.70:computeRingDimension(): The specified ring dimension (16384) does not comply with HE standards recommendation (65536)."
9,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/core/include/math/nbtheory-impl.h:l.365:LastPrime<intnat::NativeIntegerT<long unsigned int> >(): LastPrime: overflow shrinking candidate"
3391,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/core/include/math/nbtheory-impl.h:l.365:LastPrime<intnat::NativeIntegerT<long unsigned int> >(): LastPrime: overflow shrinking candidate"
2124,
689,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bfvrns/bfvrns-parametergeneration.cpp:l.289:ParamsGenBFVRNS(): Ring dimension 8192 specified by the user does not meet the security requirement. Please increase it to 16384."
1148,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/core/include/math/nbtheory-impl.h:l.365:LastPrime<intnat::NativeIntegerT<long unsigned int> >(): LastPrime: overflow shrinking candidate"
3868,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bgvrns/bgvrns-parametergeneration.cpp:l.70:computeRingDimension(): The specified ring dimension (16384) does not comply with HE standards recommendation (32768)."
224,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/core/include/math/nbtheory-impl.h:l.365:LastPrime<intnat::NativeIntegerT<long unsigned int> >(): LastPrime: overflow shrinking candidate"
1442,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bfvrns/bfvrns-parametergeneration.cpp:l.289:ParamsGenBFVRNS(): Ring dimension 32768 specified by the user does not meet the security requirement. Please increase it to 65536."
1708,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bgvrns/bgvrns-parametergeneration.cpp:l.70:computeRingDimension(): The specified ring dimension (8192) does not comply with HE standards recommendation (32768)."
571,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bfvrns/bfvrns-parametergeneration.cpp:l.289:ParamsGenBFVRNS(): Ring dimension 16384 specified by the user does not meet the security requirement. Please increase it to 32768."
3083,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bfvrns/bfvrns-parametergeneration.cpp:l.289:ParamsGenBFVRNS(): Ring dimension 8192 specified by the user does not meet the security requirement. Please increase it to 65536."
757,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bfvrns/bfvrns-parametergeneration.cpp:l.289:ParamsGenBFVRNS(): Ring dimension 32768 specified by the user does not meet the security requirement. Please increase it to 65536."
2442,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bfvrns/bfvrns-parametergeneration.cpp:l.289:ParamsGenBFVRNS(): Ring dimension 8192 specified by the user does not meet the security requirement. Please increase it to 32768."
2748,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/core/include/math/nbtheory-impl.h:l.390:PreviousPrime<intnat::NativeIntegerT<long unsigned int> >(): PreviousPrime: overflow shrinking candidate"
932,"LibraryException: terminate called after throwing an instance of 'lbcrypto::OpenFHEException'
  what():  /home/fhetest/src/main/java/T2-FHE-Compiler-and-Benchmarks/OpenFHE-v1.1.4/src/pke/lib/scheme/bgvrns/bgvrns-parametergeneration.cpp:l.70:computeRingDimension(): The specified ring dimension (32768) does not comply with HE standards recommendation (65536)."
